pair_id,prev_timestamp,curr_timestamp,trajectory_timestamp,delta_x,delta_y,delta_z,delta_yaw,yaw,pitch,roll,image_pair_path
pair_0000,1703165192.6269898,1703165192.7760732,1703165192.6979127,-0.008886990114798,0.0006352248242876,0.0002209634896983,0.0024920808056974,-3.122060625505209,-0.001332829625945,-0.1156336030227251,/app/output/image_pairs/pair_0000
pair_0001,1703165192.7760732,1703165192.8763945,1703165192.817913,-0.0084197990310093,0.0008804175917721,0.000340067157904,-0.0018224015712724,-3.127246278318049,-0.0033293763504572,-0.1165055778116956,/app/output/image_pairs/pair_0001
pair_0002,1703165192.8763945,1703165193.025807,1703165192.9579127,-0.008700164637127,0.0024219451568444,0.0010529522407807,0.0001011022298089,-3.1221515044103025,-0.0124742089736832,-0.1183174193830959,/app/output/image_pairs/pair_0002
pair_0003,1703165193.025807,1703165193.1270447,1703165193.077913,-0.0089505514732094,0.0012316638046314,0.0009086076227836,-0.0006046712316352,-3.128497273434189,-0.0183724150999335,-0.1196059678133701,/app/output/image_pairs/pair_0003
pair_0004,1703165193.1270447,1703165193.2759082,1703165193.1979127,-0.0082679023897531,-0.0024552878341579,-0.0002788378347351,0.0016436015721161,-3.1219671177641866,-0.0225578577245636,-0.1199933886765236,/app/output/image_pairs/pair_0004
pair_0005,1703165193.2759082,1703165193.4271123,1703165193.357913,-0.0084562638009967,0.0025617507696714,0.0011150042396071,0.00032092190858,-3.125431490963892,-0.024769507795428,-0.1211458781146201,/app/output/image_pairs/pair_0005
pair_0006,1703165193.4271123,1703165193.5274189,1703165193.477913,-0.0084495046687839,0.0024872913809892,0.0010932088723656,4.698725705187812e-05,-3.118345936751657,-0.0260182413956731,-0.1238242780497945,/app/output/image_pairs/pair_0006
pair_0007,1703165193.5274189,1703165193.6766133,1703165193.597913,-0.0071652795587702,-0.0047433578140744,-0.0009918482518321,-0.000301303897364,-3.121473351703593,-0.0246758776422523,-0.1239326491585231,/app/output/image_pairs/pair_0007
pair_0008,1703165193.6766133,1703165193.8260958,1703165193.7579129,-0.0090153682847717,0.0077152861490744,0.0024171918899735,-0.000642927916755,-3.116331086116008,-0.0267125828682952,-0.1286196289762375,/app/output/image_pairs/pair_0008
pair_0009,1703165193.8260958,1703165193.926335,1703165193.8779128,-0.0084383543771519,0.0009349128501561,0.0006054970700678,6.51906403290603e-05,-3.1199964317992053,-0.0217781620281363,-0.1251017506013917,/app/output/image_pairs/pair_0009
