loss,val_loss,lr
0.00045703790965490043,7.898897820268758e-06,1e-04
5.091132152301725e-06,4.121403435419779e-06,1e-04
3.6338556128612254e-06,3.222864734198083e-06,1e-04
3.1840711471886607e-06,3.078319878113689e-06,5e-05
2.8061599550710525e-06,2.912057198045659e-06,5e-05
2.81156053461018e-06,2.8911094887007494e-06,2.5e-05
2.735747102633468e-06,2.654891204656451e-06,2.5e-05
2.5459016796958167e-06,2.777936060738284e-06,1.25e-05
2.585848960734438e-06,2.692793941605487e-06,1.25e-05
2.5226661364285974e-06,2.532238340791082e-06,6.25e-06
2.4471003143844428e-06,2.6297493604943156e-06,6.25e-06
2.457678192513413e-06,2.566202283560415e-06,3.125e-06
2.417408495603013e-06,2.5839967747742776e-06,3.125e-06
2.5170613753289217e-06,2.6045493086712668e-06,1.5625e-06
2.3720367607893422e-06,2.5484953312115977e-06,1.5625e-06
