loss,val_loss,lr
3.8892889278940856e-05,1.2734604979414144e-06,1e-04
9.920535148921772e-07,9.126607665166375e-07,1e-04
7.626183560205391e-07,7.428624257954652e-07,1e-04
6.600062079087365e-07,6.910475462973409e-07,5e-05
6.190809358486149e-07,6.435818136196758e-07,5e-05
5.919452519265178e-07,6.292310104072385e-07,2.5e-05
5.760099952567543e-07,6.125633831288724e-07,2.5e-05
5.634561262013449e-07,6.027107133377285e-07,1.25e-05
5.561140596910263e-07,5.944000349700218e-07,1.25e-05
5.49337130451022e-07,5.709410402232606e-07,6.25e-06
5.45008276731096e-07,5.836096192979312e-07,6.25e-06
5.415963642008137e-07,5.555245365940209e-07,3.125e-06
5.393666242525796e-07,5.618016416519822e-07,3.125e-06
5.374822649173439e-07,5.783751930721337e-07,1.5625e-06
5.362744559533894e-07,5.766836466136738e-07,1.5625e-06
5.35155265879439e-07,5.755367169513192e-07,1e-06
5.342795930118882e-07,5.686961799256096e-07,1e-06
